cuisine,name,num_reviews,price,stars
Bars,3 and 6 Bar ,0,N\A,5
Modern European,Evelyn's Table at The Blue Posts,0,64.5,5
"Burgers, North American",Shake Shack Leicester Square,0,30.0,5
,Dim T West End,1,30.0,3.5
Italian,Strada Southbank,0,N\A,5
Bars,The Mulwray at The Blue Posts,0,N\A,5
Indian,Masala Zone Covent Garden,8,39.5,4
Modern European,The Fox Club London,0,N\A,5
Bars,Two Floors,0,N\A,5
British,The Carvery,0,39.5,5
Chinese,Dumplings Legend,2,39.5,3
Pubs,Craft Beer Co. Covent Garden,0,N\A,5
British,Great Queen Street,18,39.5,3.5
"Burgers, International",Gourmet Burger Kitchen Maiden Lane,0,N\A,5
British,Mews of Mayfair,11,64.5,4
Japanese,Mitsukoshi Restaurant,0,N\A,5
International,The Level Restaurant @ Hilton West End,0,N\A,5
International,Beso,3,39.5,3.5
Japanese,Taka Mayfair,0,64.5,5
Swiss,Heritage ,1,64.5,4
Modern European,Denise's Restaurant,0,N\A,5
,Beyond Bread Fitzrovia,0,30.0,5
,Garfunkels - Cockspur Street,0,39.5,5
,Bill's Restaurant St Martin's Courtyard,5,N\A,3.5
French,Le Garrick,12,39.5,4
Gastropub,The White Swan Pub & Dining Room,9,N\A,4
Japanese,Sticks 'N' Sushi,9,39.5,5
"Japanese, Sushi",YO! Sushi Oxford Street,0,39.5,5
"Japanese, Sushi",Sticks 'n' Sushi Soho ,0,39.5,5
Afternoon tea,Wellington Lounge at the InterContinental Park Lane,0,39.5,5
Bars,Graphic,2,N\A,3.5
,Lantana Cafe Fitzrovia,1,30.0,5
"Afternoon tea, Bars",Afternoon Tea at Hotel Cafe Royal,4,39.5,4
"Italian, Peruvian",Monmouth Kitchen,0,39.5,5
North American,Big Easy Covent Garden,6,39.5,3
Italian,Rossopomodoro - Oxford Street,0,39.5,5
Italian,Vapiano Manchester,0,30.0,5
,Spaghetti House Haymarket,0,N\A,5
,Lick,0,30.0,5
French,Henrietta Bistro,2,39.5,4.5
"Mexican, Vegan",Club Mexicana,0,30.0,5
