cuisine,name,num_reviews,price,stars
"British, Wine Bars",Pall Mall Fine Wine,1,39.5,2
"Bars, Polish",Bar Polski,0,N\A,5
Mexican,Cafe Pacifico,4,39.5,3.5
"Lebanese, Mediterranean, Middle Eastern",Maison Du Mezze - Leicester Square,0,39.5,5
Pubs,The Windmill - Mill Street,1,N\A,3.5
Pubs,The Iron Duke,0,N\A,5
Caribbean,Jerk City,0,N\A,5
Bars,Cahoots,0,N\A,5
Modern European,My Old Dutch Holborn,3,30.0,2.5
"Bars, British",The Box Soho,0,80.0,5
Spanish,50 Days by Albert Adrià,0,N\A,5
French,Compagnie des Vins Surnaturels Seven Dials,1,39.5,2
Chinese,Sanxia Renjia Chinese Restaurant,1,N\A,5
"Indian, Vegetarian",India India,0,39.5,5
"Burgers, North American",Wahlburgers Covent Garden,4,30.0,3.5
Indian,Salt’n Pepper ,2,39.5,2
International,The Vincent Rooms & Escoffier Room,1,30.0,4.5
Bars,Benares (bar),1,N\A,5
British,5th View Bar & Food,0,30.0,5
Vietnamese,Pho Covent Garden,0,39.5,5
Bars,Market Place,4,N\A,1
"Italian, Mediterranean",Cafe Mode,5,30.0,3.5
Modern European,Richoux - Piccadilly,0,N\A,5
Bars,The Green Bar at Hotel Café Royal,0,30.0,5
British,The National Dining Rooms,4,39.5,4
Pubs,French House,1,N\A,5
Fish,Loch Fyne - Covent Garden,4,N\A,4.5
Fish and Chips,Poppie's Fish & Chips Soho,0,30.0,5
Korean,Assa,0,39.5,5
Modern European,Gail's Kitchen,1,39.5,4
North American,Sweet Chick,0,39.5,5
"Bars, South American",MNKY HSE,5,64.5,4
Wine Bars,Shepherd Market Wine House,0,N\A,5
"Barbecue, North American",Bodean's Covent Garden,0,39.5,5
Afternoon tea,The Athenaeum (afternoon tea),0,39.5,5
Bars,Cafe Kaizen,0,N\A,5
Indian,The Curry Room,0,64.5,5
"Japanese, Sushi",Hakuba,2,39.5,1.5
"Indian, Persian",Dum Biryani House,0,39.5,5
Modern European,The Vaults at the RSA,0,N\A,5
Chinese,Tao Tao Ju,0,N\A,5
,Novikov - Asian Restaurant,37,80.0,3
"Bars, British",Sway Bar,0,39.5,5
Steak,Johnstons Restaurant,0,N\A,5
Pubs,Coach & Horses - Greek Street,2,N\A,4
Chinese,Er Mei,0,39.5,5
Fish,Manzi's ,0,39.5,5
Pubs,The Crown & Two Chairmen,0,39.5,5
Japanese,Shochu Kanteen,0,N\A,5
Bars,Hawksmoor Seven Dials Bar,1,N\A,4.5
"Afternoon tea, Brasserie",Browns Mayfair,1,64.5,1.5
Thai,Thai Silk,4,39.5,2
,The Chipping Forecast Soho,0,30.0,5
Portuguese,Claro,0,39.5,5
Indian,Delhi Brasserie - Soho,0,N\A,5
"Italian, Wine Bars",Fino's Mount Street,0,39.5,5
Japanese,Kanada-Ya Panton Street,2,30.0,4
Spanish,La Tasca Spanish Tapas Bar and Kitchen - Victoria,0,N\A,5
Vietnamese,The House of Ho,3,39.5,3
"Japanese, Sushi",Tokyo Diner,2,30.0,3.5
British,The Gun Room at Plas Dinas,0,80.0,5
Wine Bars,Shampers,3,N\A,3.5
"Bars, Spanish",Salvador & Amanda Covent Garden,7,N\A,2
"Burgers, North American",Patty & Bun Soho,0,30.0,5
Bars,The Vault at Milroy's,1,N\A,5
Gastropub,The College Arms,0,N\A,5
Burgers,Artesian Bar,0,64.5,5
Pubs,The Lyric,0,30.0,5
Italian,Piazza Restaurant,1,N\A,5
Mexican,Kol ,0,64.5,5
Modern European,Davies & Brook ,0,80.0,5
"French, North American",Louie,0,64.5,5
Burgers,BAO + BURGER + BEER,0,39.5,5
Mexican,Chiquito - Leicester Square,0,N\A,5
Bars,The Bar at Bellamy's,0,N\A,5
Italian,Osteria Dell'Angolo,7,64.5,3.5
Italian,Il Borro,0,64.5,5
"Halal, Lebanese",Noura Mayfair,1,39.5,5
Bars,The Blind Pig,0,30.0,5
British,The Gallery at Fortnum & Mason,1,39.5,5
Turkish,Tas 33 The Cut,1,39.5,5
Pubs,The Salisbury,0,N\A,5
,Gail's Soho,0,30.0,5
Gastropub,Anchor & Hope,29,39.5,2
Bars,The Bloomsbury Club Bar,0,N\A,5
"Vegan, Vegetarian",Redemption Bar Seven Dials,0,N\A,5
Italian,Macellaio RC Bloomsbury,0,39.5,5
Bars,Be At One Covent Garden: Lyceum,0,N\A,5
International,RS Hispaniola,4,39.5,3
"Bars, British, Pubs",The George - The Strand,0,N\A,5
"Burgers, Fish",Burger and Lobster Oxford Circus,0,39.5,5
Lebanese,Maison du Mezze Kingston,0,39.5,5
"Bars, Pubs",The Draft House Charlotte W1,0,N\A,5
River Boats,Tattershall Castle,0,39.5,5
Bars,Amaranto (bar),0,N\A,5
Bars,Ralph's Coffee and Bar,0,N\A,5
Bars,Champagne Bar at Kettner's,0,64.5,5
,Boozy Tea Room,0,64.5,5
International,Balans Soho Society,3,39.5,3.5
"Japanese, Sushi",Engawa,3,64.5,3.5
Tapas,Pix Soho,3,30.0,4
Pubs,The Old Crown,3,N\A,4
"Japanese, Sushi",Kulu Kulu Sushi,4,30.0,4
Bars,Coppa Club Lounge,1,N\A,5
Pizza,Soho Joe,0,30.0,5
Bars,The 100 Club,0,N\A,5
,Tortilla Market Place,1,30.0,3
Bars,Punch Room at The London Edition,1,30.0,4
Bars,Coya Mayfair Pisco Lounge,0,N\A,5
,Patisserie Valerie Marshall Street,0,30.0,5
Bars,Blessing's,0,N\A,5
"Italian, Pizza",Pizza Express Dean Street,0,39.5,5
,Kintan Oxford Circus,0,39.5,5
French,Boulevard Brasserie,3,39.5,3
Spanish,Copita,3,39.5,4
International,Sartaj Resturant,0,N\A,5
Japanese,Inko Nito,0,39.5,5
Bars,The Light Lounge,0,N\A,5
"Halal, Turkish",Tas - Borough High Street,2,39.5,4
Bars,London Cocktail Club Goodge Street ,5,30.0,3.5
,Banana Tree Soho,2,30.0,4
Bars,Eleanor's Bar at Charing Cross Hotel,0,N\A,5
International,113 Restaurant & Bar ,0,39.5,5
Bars,The Rivoli Bar at The Ritz London,1,N\A,5
Modern European,Waterloo Bar & Kitchen,20,39.5,4.5
Japanese,Omoide,0,N\A,5
Vietnamese,MOC Kitchen,1,30.0,4.5
"Afternoon tea, French",Balthazar,49,64.5,4
"Halal, Lebanese",Al Hamra,2,39.5,2
Modern European,Folie,0,64.5,5
Japanese,Cocoro Coptic Street,0,N\A,5
Gastropub,Walkabout Temple,0,N\A,5
,The Terrace at Amba Hotel Charing Cross,1,N\A,3
"Burgers, Vegan, Vegetarian",Neat Burger Mayfair,0,30.0,5
Italian,Bella Italia - Argyll Street,0,30.0,5
Bars,Flamingo,0,N\A,5
"Middle Eastern, Persian",Nutshell,0,39.5,5
Chinese,Happy Lamb Hot Pot,1,30.0,4.5
Italian,Lina Stores - 51 Greek Street,6,39.5,3
"Chinese, Dim Sum",RedFarm London,0,N\A,5
Mexican,Wahaca Chandos Place,11,30.0,4
French,Le Boudin Blanc,30,64.5,4.5
North American,Dirty Bones Soho,0,39.5,5
Belgian,Belgo Soho,0,39.5,5
International,Madisons at The Washington Mayfair,0,N\A,5
"Italian, Pizza",Pizza Express Charlotte Street,1,39.5,2
Gastropub,The Bountiful Cow,2,39.5,4
British,The Northall at Corinthia Hotel London,6,64.5,3.5
"Bars, British",The Wigmore at The Langham,3,30.0,4.5
French,Brasserie Blanc Southbank,5,39.5,2
Thai,Rosa’s Thai Café Dean Street,4,39.5,3
South American,Las Iguanas Royal Festival Hall,4,39.5,4
Bars,Baranis,1,N\A,4
"Middle Eastern, Turkish",Kebab Queen at Maison Bab,0,64.5,5
"French, Modern European",Café Boheme,0,30.0,5
"Bars, Dim Sum",Opium Cocktail & Dim Sum Parlour,0,39.5,5
Chinese,Wan Chai Corner,0,N\A,5
Italian,Signor Grilli,0,N\A,5
French,La Petite Maison,25,N\A,3.5
,Hard Rock Cafe London Oxford Street,0,39.5,5
,Tap Coffee,0,30.0,5
"Italian, Pizza",Pizza Express 450 Strand,1,39.5,5
British,Strand Carvery,0,N\A,5
Pizza,Pizza Pilgrims Pizzeria & Friggitoria ,1,39.5,5
Bars,Polpo Soho Bar,0,N\A,5
Afternoon tea,Brigit’s Bakery Covent Garden,0,30.0,5
Mediterranean,Ceru Soho,0,39.5,5
,Bloomsbury Street Bar at Radisson Blu Edwardian Bloomsbury Street Hotel (afternoon tea),0,30.0,5
,Saint Luke's Table,0,64.5,5
Modern European,Kitchen Table at Bubbledogs,6,80.0,4.5
,Burger and Lobster Mayfair,15,N\A,3
"Bars, Indian",The Cinnamon Club (bar),2,N\A,5
"Italian, Pizza",Delfino,6,39.5,4.5
"British, Modern European",Mother Mash,0,30.0,5
"British, Pubs",Walkers of Whitehall,0,39.5,5
Italian,Cecconi's Mayfair,31,64.5,5
Bars,Picturehouse Central Cafe and Bar,0,N\A,5
Japanese,Titu,4,64.5,4
British,Cellarium Cafe & Terrace,1,39.5,4.5
"Japanese, Sushi",SO Restaurant,3,39.5,3.5
"Burgers, North American",MEATmarket,1,30.0,5
Pubs,Cross Keys - Endell Street,0,N\A,5
,Salt Espresso Lunch & Tea,0,30.0,5
Bars,The Drunken Oyster at Hai Cenato,0,N\A,5
Thai,Siam Central,6,30.0,2.5
Bars,Sports Bar & Grill - Waterloo,0,N\A,5
Mediterranean,NOPI - Downstairs,1,N\A,5
Bars,London Cocktail Club Shaftesbury Avenue,0,N\A,5
International,MoBa,0,N\A,5
"Italian, Pizza",Sartori,8,39.5,4
Spanish,Costa Dorada,0,N\A,5
,Patisserie Valerie Charing Cross,0,30.0,5
British,Holborn House,0,N\A,5
Turkish,Ali Ocakbasi,0,39.5,5
Indian,Masala Zone Soho,3,39.5,3.5
"Bars, North American",Cocktail Baby,0,N\A,5
Wine Bars,Gordon's Wine Bar,4,N\A,4.5
"Burgers, International",Byron Wellington Street,0,30.0,5
Bars,Circa,0,N\A,5
Spanish,La Tasca Spanish Tapas Bar and Kitchen - Regent Street,0,N\A,5
Bars,Donovan Bar at Brown's Hotel,2,N\A,2
Indian,Quilon,15,39.5,4
International,Cookhouse Joe,0,30.0,5
Bars,The Aviary Bar,3,N\A,5
Italian,Forty Dean Street,0,64.5,5
Bars,The Courthouse Hotel,0,N\A,5
,YO! Sushi Waterloo Station,0,N\A,5
Korean,Olle,0,N\A,5
British,Clifford's,0,N\A,5
Thai,Busaba Eathai Wardour Street,4,39.5,4
British,Keeper's House,0,64.5,5
Bars,Teatulia,0,N\A,5
Japanese,Koya Soho,0,39.5,5
"Spanish, Tapas",Salt Yard,14,64.5,4
French,Savoir Faire,1,N\A,5
Bars,Scarfes Bar at Rosewood London,2,N\A,5
Chinese,Haozhan,9,39.5,3
,"The Slug and Lettuce, County Hall",0,N\A,5
Bars,Reverend JW Simpson,0,N\A,5
Pubs,De Hems Dutch Bar,0,N\A,5
Bars,Soho Zebrano,1,N\A,5
Mexican,La Bodega Negra Café & Taqueria,5,39.5,4
"International, Italian",Chucs Mayfair,3,64.5,4
Bars,Lowlander Grand Café,2,N\A,4
Italian,L'Italiano,1,39.5,3.5
Mexican,Wahaca Waterloo,1,30.0,5
Turkish,Maison Bab,1,39.5,5
Bars,London Gin Club at The Star at Night,0,64.5,5
Italian,Pasta Sereni,1,30.0,4
Mexican,Wahaca Soho,0,30.0,5
Italian,Piccolino Heddon Street,8,39.5,4
Thai,Busaba Eathai Panton Street,5,39.5,3.5
International,Courtyard at 51 Buckingham Gate,0,39.5,5
Italian,My Pasta Bar,2,N\A,2
Korean,Kim's Mini Meals,0,30.0,5
International,Madisons Restaurant,3,N\A,5
North American,Stax Carnaby,0,39.5,5
Bars,The American Bar at The Stafford,1,80.0,4
"Chinese, Taiwanese",Bao Soho,6,30.0,4
Italian,Amaranto,0,64.5,5
Thai,Rosa's Thai Cafe Seven Dials,0,30.0,5
Taiwanese,Din Tai Fung Centre Point,0,39.5,5
"Spanish, Tapas",Lobos Soho,1,39.5,4
Bars,Mark's Bar at The Old Vic,0,N\A,5
Thai,Pu's Brasserie,0,30.0,5
International,Garfunkel's Leicester square,0,39.5,5
International,Covent Garden Grill,0,39.5,5
"French, Vegan, Vegetarian",Gauthier Soho,37,64.5,5
"Japanese, Pan-Asian",Wagamama Holborn,0,39.5,5
Burgers,Kua'aina Fitzrovia,0,39.5,5
French,Blanchette Soho,4,N\A,4
British,Rules,24,64.5,5
"Indian, Vegan",Annakut,0,39.5,5
Indian,Dishoom Covent Garden,8,39.5,4
"British, Modern European",Squares,0,N\A,5
Brasserie,Old Compton Brasserie,0,39.5,5
Modern European,Bryn Williams at Somerset House,4,39.5,4.5
,Koox,0,39.5,5
French,Chez Antoinette Victoria,0,30.0,5
"Italian, Pizza",Pizza Express Millbank,1,39.5,5
"Spanish, Tapas",Mas Q Menos Holborn,0,39.5,5
Japanese,Wagamama Belvedere Road,0,39.5,5
Burgers,Honest Burgers Waterloo,0,30.0,5
British,Tuttons,1,39.5,2
Japanese,Bone Daddies Soho,7,39.5,4.5
Pizza,Cecconi's Pizza Bar,0,39.5,5
Mexican,Wahaca Charlotte Street,1,30.0,5
Pubs,The Ship & Shovell,0,N\A,5
Bars,Jack Solomons Club,0,N\A,5
"International, Pizza",Mews Pizza Co.,5,39.5,4
Afternoon tea,Afternoon Tea at Caffe Concerto Piccadilly,0,N\A,5
"Burgers, North American",Shake Shack Cambridge Circus,0,30.0,5
Bars,The Blue Boar Bar,0,N\A,5
French,Moncks of Dover Street,0,39.5,5
Lebanese,Yalla Yalla - Green's Court,7,39.5,4
Mediterranean,Cafe Mode - Drury Lane,1,N\A,4
International,Chicken Shop High Holborn,0,39.5,5
Pubs,The Clachan,0,N\A,5
Bars,Disrepute,0,N\A,5
Italian,Ristorante Granaio,0,39.5,5
International,Garfunkel's Tottenham Court Road,0,39.5,5
"Malaysian, Singaporean",Rasa Sayang,0,30.0,5
Japanese,Shackfuyu,5,30.0,4
"Bars, British",Ruby Blue,0,30.0,5
,Jamie's Italian St Martin's Courtyard,5,39.5,3.5
"Italian, Pizza",'O ver St James's ,0,39.5,5
International,Foley's,1,39.5,5
Pubs,The John Snow,0,N\A,5
Bars,Wyld,0,N\A,5
"Afternoon tea, International",sketch: The Parlour,6,39.5,4.5
,Aubaine Deli,0,30.0,5
Thai,Busaba Eathai Bloomsbury,1,39.5,4.5
Modern European,Mortimer House Kitchen,0,64.5,5
Modern European,The Archduke,1,N\A,3.5
Italian,Getti,3,39.5,3
"Italian, Pizza",Ponti's Italian Kitchen - John Princes Street,1,N\A,5
Bars,Maple Leaf,0,64.5,5
Italian,In Parma by Food Roots,7,39.5,4
Japanese,Yumi Izakaya,3,39.5,4
North American,All Star Lanes Holborn,1,39.5,1
Japanese,Tonkotsu Soho,4,39.5,3.5
,Thai Square Strand,3,N\A,3.5
"Italian, Mediterranean",San Carlo Cicchetti Piccadilly,6,30.0,4
Chinese,BaoziInn-Newport Ct,6,30.0,3
Bars,Henson’s Bar and Social at Mimi's Hotel,0,N\A,5
French,Boulestin,18,39.5,4
Bars,Planet of the Grapes Sicilian Avenue,0,N\A,5
,Chaijunt Restaurant,0,N\A,5
Korean,Soju,0,39.5,5
Chinese,Shuang Shuang,0,39.5,5
Japanese,Ichibuns,0,30.0,5
,The Riverfront,2,39.5,4
British,The London Cabaret Club,0,39.5,5
Bars,London Cocktail Club Oxford Circus,2,N\A,4
Italian,Vetro Wine & Cocktail Bar,1,39.5,5
Bars,Heliot Bar at The Hippodrome,0,N\A,5
Japanese,Wagamama Covent Garden,0,30.0,5
Italian,Zizzi Bow Street,1,39.5,1
Russian,Assorti - W1,0,N\A,5
Bars,Village,0,N\A,5
British,Sweetspot,0,N\A,5
"Burgers, North American",Patty & Bun Goodge Street ,1,30.0,3
British,Blue Boar ,3,64.5,4.5
Modern European,Spiritland Royal Festival Hall,0,39.5,5
Indian,Silk Restaurant,0,N\A,5
"Burgers, International",Gourmet Burger Kitchen Frith Street,0,N\A,5
Bars,The Cut,2,N\A,4
"Burgers, International",Chick 'n' Sours Seven Dials,1,30.0,5
French,Côte St Martins Lane,0,30.0,5
Bars,Dukes Cognac & Cigar Garden,0,N\A,5
Mexican,Wahaca Southbank,0,30.0,5
"Italian, Pizza",Pizza Express High Holborn,0,39.5,5
"Afternoon tea, British, Steak",Gillray's Steakhouse & Bar,8,64.5,3
Korean,Naru Restaurant,1,39.5,3
North American,Shake Shack New Oxford Street,1,30.0,5
Afternoon tea,Afternoon Tea at Caffe Concerto Northumberland Avenue,0,N\A,5
"Lebanese, Middle Eastern",Yalla Yalla - Winsley Street,2,39.5,5
Indian,Soho Wala,0,39.5,5
Italian,Bancone Covent Garden,3,39.5,4
Bars,The Martini Bar at Christopher's,0,30.0,5
Bars,The Arts Theatre Club   ,0,39.5,5
"Austrian, International",Boopshi's,0,39.5,5
"Mediterranean, Moroccan, North African",Afternoon Tea at Momo,0,64.5,5
French,Côte Covent Garden,5,30.0,4
British,Bill's Restaurant Soho,1,39.5,2.5
French,The Ritz Restaurant,26,80.0,3
Italian,Tasting Sicily Enzo's Kitchen,1,64.5,5
Peruvian,Ceviche Soho,24,39.5,4
Pubs,Holborn Whippet,1,N\A,5
"Bars, International",Hudson's House at St Giles Hotel,0,39.5,5
Japanese,Sticks 'N' Sushi Victoria,0,39.5,5
British,Benugo Bar & Kitchen at BFI Southbank,14,39.5,3.5
"Afternoon tea, Italian",The Petersham Covent Garden,2,64.5,5
French,Mon Plaisir,7,N\A,2.5
Afternoon tea,The Palace Lounge at The Rubens at The Palace Hotel (afternoon tea),0,39.5,5
,The Japanese Canteen High Holborn,0,N\A,5
Bars,"The Slug and Lettuce, Leicester Square",0,N\A,5
,Hilliard,0,30.0,5
Bars,The Beach Bar at The Montague on the Gardens,0,N\A,5
Bars,Beaufort Bar at The Savoy,1,39.5,4
"Afternoon tea, British",Thames Dinner Cruise,0,39.5,5
International,Peter Stringfellow's Angels @ The Wardour,0,39.5,5
Japanese,"Tombo, Poké & Matcha Bar",0,30.0,5
Italian,Da Paolo,1,39.5,5
Modern European,Ducksoup,9,39.5,3
Modern European,The Cafe at Sotheby's,0,39.5,5
"British, Mediterranean",Jak's Mayfair,0,39.5,5
,Canteen Royal Festival Hall,7,N\A,2.5
Pubs,The Red Lion Duke of York Street,0,N\A,5
"Bars, Pizza",B-Soho (bar),2,N\A,3
"Afternoon tea, British",The Parlour at the Great Scotland Yard Hotel Afternoon Tea,0,64.5,5
International,The Bowler Covent Garden,0,30.0,5
Turkish,Yeni,1,N\A,3
Peruvian,Señor Ceviche Carnaby,6,39.5,3.5
Chinese,Kai,12,80.0,3.5
"Bars, Italian",Cecconi's (bar),1,N\A,5
Pubs,Chequers Tavern,0,N\A,5
German,Herman Ze German Soho,1,30.0,4
Japanese,Kirazu,0,39.5,5
International,Scully,14,64.5,4
Italian,Fields Bar & Kitchen,0,30.0,5
Italian,2 Amici Restaurant,1,N\A,3
French,Côte Charlotte Street,0,30.0,5
Indian,Tamarind Kitchen,2,39.5,5
"Bars, International",Ronnie Scott's,2,39.5,3.5
,The Diner Ganton Street,2,N\A,2.5
Italian,L'ulivo Leicester Square,0,N\A,5
Bars,The House of Ho (bar),0,N\A,5
Bars,The Rosa Lewis Bar,0,N\A,5
Turkish,Troia Bar & Restaurant,1,N\A,4
,Flat Planet,0,30.0,5
British,Dalloway Terrace,5,39.5,4.5
British,Bill's Restaurant Covent Garden - Wellington Street,1,N\A,5
Bars,Grays & Feather,1,N\A,5
Vietnamese,Pho Soho,2,39.5,4.5
Indian,Kricket Soho,7,39.5,5
Tapas,Pix Covent Garden,0,30.0,5
,Pickle and Toast,0,30.0,5
,Afternoon Tea at Jean-Georges at The Connaught,0,80.0,5
International,Garfunkel's Trafalgar Square,0,39.5,5
"Argentinian, Steak",Gaucho Chancery Lane,6,64.5,4
French,Le Troisieme Wine Bar & Restaurant,1,N\A,0.5
Bars,Milk & Honey,1,N\A,4
Sushi,OKA Kingly Court,1,39.5,5
Greek,Hovarda,0,39.5,5
Bars,Hair Of The Dog,0,N\A,5
Mediterranean,Three O Two at H10 London Waterloo,1,N\A,5
Vegetarian,Tibits,0,N\A,5
"Burgers, Pubs",The Crown Battersea,0,N\A,5
Taiwanese,Mr Ji Soho,0,30.0,5
,Cafe Liberty,0,39.5,5
British,Bar & Kitchen,0,N\A,5
Bars,Ain't Nothin' But... The Blues Bar,0,N\A,5
Italian,Obicà Mozzarella Bar - Poland Street,1,39.5,3.5
Chinese,Plum Valley,4,39.5,4
"Burgers, International",Byron Haymarket,0,30.0,5
Afternoon tea,Afternoon Tea at Caffe Concerto Haymarket,0,N\A,5
"Italian, Pizza",Franco Manca Covent Garden,0,30.0,5
Pubs,The Green Man - Riding House Street,2,N\A,2
Pizza,Homeslice Covent Garden,4,30.0,5
Italian,San Carlo St James's,0,64.5,5
Bars,Hide Below,0,N\A,5
Middle Eastern,Shukshuk,0,N\A,5
Mexican,Benito's Hat - New Row,1,30.0,3
Bars,Champagne Stories,0,N\A,5
Brasserie,Florentine at Park Plaza Waterloo,0,39.5,5
,Timberyard Seven Dials,0,30.0,5
Bars,Waterloo Tap,0,N\A,5
Italian,Caffe Rei,0,N\A,5
Chinese,Murger Han Mayfair,0,30.0,5
"Burgers, International",Byron Central St. Giles,0,30.0,5
Sushi,The Araki,6,80.0,4.5
Italian,Caffe Vergnano 1882,2,N\A,1.5
Bars,Longitude 0°8’ at Le Méridien Piccadilly Hotel,0,N\A,5
Italian,Amalfi - Old Compton Street,1,N\A,5
Fish and Chips,Golden Union,3,30.0,4
Japanese,Wagamama Streatham Street,0,39.5,5
French,Café Rouge - Kingsway,1,N\A,1
Steak,Flat Iron Henrietta Street,7,39.5,5
"Burgers, International",Byron Waterloo,3,30.0,4.5
"Afternoon tea, Bars",Mr Fogg’s Residence,2,39.5,4.5
Bars,The Icon Bar at the Empire Casino,0,N\A,5
British,William's Bar & Bistro,0,N\A,5
Mexican,Chipotle - Wardour Street,1,30.0,4.5
International,Riding House Café,19,39.5,4
Bars,Nobu Berkeley St (bar),5,N\A,3.5
"Barbecue, Bars","Low, Slow & Juke",0,39.5,5
Spanish,Arros QD,5,64.5,4
Mexican,Tortilla Charing Cross,0,30.0,5
International,Leon Carnaby Street,0,39.5,5
"Chinese, Malaysian",New Fook Lam Moon,0,39.5,5
Chinese,Noodle Oodle,0,30.0,5
Bars,Bar Salsa Soho,0,N\A,5
Thai,Thai Tho - Soho,3,N\A,3
Pubs,The White Lion - James Street,0,N\A,5
Persian,Simurgh,2,N\A,3.5
,Gino,0,30.0,5
"Italian, Pizza",Pizza Express 147 Strand,0,39.5,5
Peruvian,Floral by Lima,8,64.5,4.5
Afternoon tea,The Rose Lounge at Sofitel London St James Hotel (afternoon tea),1,30.0,5
"North American, Steak",Smith & Wollensky,13,64.5,4.5
Brasserie,Le Deli Robuchon,0,30.0,5
"British, Fish",Wiltons,16,N\A,3.5
Modern European,Podium Restaurant & Bar,1,30.0,5
"Fusion, Modern European, West African",Stork ,0,64.5,5
Japanese,Sakagura,4,39.5,3
"Modern European, South American, Spanish",YOPO at the Mandrake,0,39.5,5
Japanese,Nobu Berkeley St,40,80.0,3
Modern European,Mere,15,64.5,5
Bars,Hawksmoor Air Street Bar,5,N\A,3.5
Vietnamese,Pho & Bun,4,30.0,4
Modern European,Aster,2,64.5,5
Pubs,Waxy O'Connor's,0,N\A,5
"Spanish, Tapas",Aqua Nueva,25,64.5,4
French,Seven Park Place by William Drabble,8,64.5,4
British,Boyds Grill & Wine Bar ,11,64.5,4
Modern European,Ten Room at Hotel Café Royal,3,64.5,4
"British, Fish",Wright Brothers Soho,20,39.5,4.5
French,Pied à Terre,33,64.5,3.5
"Chinese, Indian, Vegetarian",Bollywood Stories,0,39.5,5
"Afternoon tea, Bars, Mediterranean",Radio Rooftop,4,64.5,2.5
Steak,M Victoria Street,4,64.5,5
Hotel Bars,Blind Spot at St Martins Lane hotel,3,N\A,4
Japanese,Aqua Kyoto,37,64.5,3
Bars,The Aviator Bar at Hush,0,N\A,5
Modern European,10 Greek Street,11,39.5,4
Bars,Skylon (bar),3,N\A,4
Bars,Aqua Spirit,2,N\A,2
British,Aulis London,1,80.0,5
Japanese,Benihana Piccadilly,1,64.5,5
Modern European,45 Jermyn St.,6,64.5,4
Italian,Murano,47,80.0,4
Fish,Kaspar's at The Savoy,14,64.5,4
British,OXO Tower Brasserie,17,39.5,3
Bars,Avenue Bar,0,N\A,5
Peruvian,Lima London,16,64.5,3.5
"Italian, Pizza",Bocconcino,4,64.5,3.5
International,Galvin at the Athenaeum,5,39.5,4
Chinese,Zen China Bao Fa Garden,4,39.5,3
French,5 Social,12,39.5,4
Japanese,Kikuchi,3,64.5,3.5
"British, Steak",Hawksmoor Air Street,31,64.5,3.5
"Afternoon tea, Central European, Modern European",The Wolseley,70,64.5,5
"Afternoon tea, British",Berners Tavern at The London Edition,41,64.5,5
Afternoon tea,Afternoon Tea at Corinthia Hotel London,3,39.5,5
French,Frenchie Covent Garden,24,64.5,4.5
Mexican,Corazón,1,39.5,5
Japanese,Shoryu Ramen Soho,0,39.5,5
"British, Pubs",The Barley Mow Horseferry Road,0,N\A,5
Spanish,Eneko Basque Kitchen & Bar,11,64.5,4
"Chinese, Indian, International, Japanese, Middle Eastern, Modern European, Sushi",27 Restaurant & Bar,1,N\A,5
Thai,Crazy Bear,31,64.5,4
"Afternoon tea, Bars, Russian",Zima Russian Restaurant,3,39.5,5
Modern European,Oscar at the Charlotte Street Hotel,6,64.5,3.5
Modern European,Social Eating House,35,64.5,4
Italian,Norma,2,39.5,3
Wine Bars,Cave à Vin,0,30.0,5
,Inamo Soho,27,39.5,3
"Afternoon tea, British",OXO Tower Restaurant,21,64.5,4.5
International,Langan's Brasserie,25,64.5,4
Italian,Mercante,0,39.5,5
,Aubaine Mayfair,6,39.5,3.5
Japanese,Nobu London at the COMO Metropolitan London,19,N\A,3.5
British,Pollen Street Social,91,64.5,4.5
"British, Wine Bars",Davy's at St James's,1,39.5,4
Modern European,100 Wardour St (Bar & Lounge),2,N\A,5
"Afternoon tea, British",The Game Bird at The Stafford London,3,64.5,5
"Dim Sum, Fish, Fusion, Halal, Indian, Japanese, Korean, Middle Eastern, Noodles, Pan-Asian, Peruvian, Sri Lankan, Tapas, Thai, Vegan, Vegetarian, Vietnamese",Gamma Gamma,0,39.5,5
Modern European,The Restaurant at Sanderson ,5,39.5,4
Spanish,Jamon Jamon Soho,2,N\A,4.5
Modern European,Brasserie Max at the Covent Garden Hotel,10,64.5,4
Bars,Ham Yard Bar at Ham Yard Hotel,2,N\A,5
"Bars, British, International",The Rooftop St. James ,0,64.5,5
Vietnamese,Viet Eat,0,30.0,5
"Burgers, North American",Hard Rock Cafe Piccadilly Circus,0,39.5,5
Afternoon tea,Afternoon Tea at The Connaught,1,64.5,5
Gastropub,The Long Acre,0,39.5,5
Bars,Libare Bar at Sartoria,2,39.5,5
"Afternoon tea, Austrian, Central European",The Delaunay,71,64.5,5
International,The Nitery by Gizzi Erskine at St Martins Lane London,0,64.5,5
Afternoon tea,Afternoon Tea at Dukes London,0,39.5,5
Afternoon tea,House Restaurant at the National Theatre (Afternoon Tea),0,39.5,5
"Afternoon tea, British",GBR at Dukes London,0,39.5,5
Indian,Indian Accent,15,64.5,4
International,St Luke’s Kitchen at Library,10,39.5,4
Modern European,Percy & Founders,5,39.5,4
International,The Parlour at Six Storeys on Soho,0,39.5,5
"Afternoon tea, Modern European",The Foyer & Reading Room at Claridge's,5,64.5,4.5
Chinese,Park Chinois,7,80.0,3.5
Thai,Patara Soho,10,39.5,3
French,L'Escargot,8,39.5,4
Bars,The Coral Room,0,N\A,5
"Bars, Burgers",Rileys Sports Bar Haymarket,0,30.0,5
